time	Channel1	Channel2
-0.000892	0.7946666	-0.002133333
-0.0008918	0.7959999	-0.002666666
-0.0008916	0.7978666	-0.001866666
-0.0008914	0.7983999	-0.002933333
-0.0008912	0.7991999	-0.001333333
-0.0008910000000000001	0.8009332	-0.001866666
-0.0008908	0.8035999	-0.002666666
-0.0008906000000000001	0.8035999	-0.0005333333
-0.0008904000000000001	0.8027999	-0.0024
-0.0008902000000000001	0.8073332	-0.001333333
-0.0008900000000000001	0.8073332	-0.004133333
-0.0008898	0.8087999	-0.001066667
-0.0008896	0.8103999	-0.0007999999
-0.0008894	0.8117332	-0.0032
-0.0008892	0.8149332	-0.001333333
-0.000889	0.8149332	-0.002933333
-0.0008888	0.8166666	-0.002666666
-0.0008886	0.8166666	-0.001866666
-0.0008884	0.8195999	-0.001333333
-0.0008882	0.8214666	-0.001333333
-0.000888	0.8233333	-0.0032
-0.0008878	0.8225332	-0.001333333
-0.0008876	0.8250666	-0.001866666
-0.0008874	0.8269333	-0.003466666
-0.0008872	0.8285332	-0.002666666
-0.000887	0.8282666	-0.002133333
-0.0008868	0.8306666	-0.0024
-0.0008866	0.8319999	-0.001866666
-0.0008864000000000001	0.8339999	-0.001333333
-0.0008862	0.8358666	-0.004133333
-0.0008860000000000001	0.8355999	-0.002666666
-0.0008858000000000001	0.8374666	-0.0016
-0.0008856000000000001	0.8369333	-0.001866666
-0.0008854	0.8406666	-0.001333333
-0.0008852	0.8426666	-0.001066667
-0.000885	0.8434666	-0.0024
-0.0008848	0.8434666	-0.002666666
-0.0008846	0.8447999	-0.0024
-0.0008844	0.8471999	-0.002933333
-0.0008842	0.8477333	-0.002133333
-0.000884	0.8487999	-0.001866666
-0.0008838	0.8521333	-0.002933333
-0.0008836	0.8518666	-0.0032
-0.0008834	0.8531999	-0.0024
-0.0008832	0.8561332	-0.0032
-0.000883	0.8566666	-0.001866666
-0.0008828	0.8578666	-0.002133333
-0.0008826	0.8586666	-0.001066667
-0.0008824	0.8613333	-0.0024
-0.0008822000000000001	0.8626666	-0.002933333
-0.000882	0.8634666	-0.002133333
-0.0008818000000000001	0.8637332	-0.001866666
-0.0008816000000000001	0.8670666	-0.002133333
-0.0008814000000000001	0.8683999	-0.003466666
-0.0008812000000000001	0.8686666	-0.002933333
-0.0008810000000000001	0.8702666	-0.0024
-0.0008808	0.8721333	-0.0016
-0.0008806	0.8721333	-0.001866666
-0.0008804	0.8749332	-0.0024
-0.0008802	0.8751999	-0.001066667
-0.00088	0.8773332	-0.002133333
-0.0008798	0.8789333	-0.0016
-0.0008796	0.8789333	-0.002933333
-0.0008794	0.8817332	-0.0024
-0.0008792	0.8827999	-0.0016
-0.000879	0.8833333	-0.0024
-0.0008788	0.8862666	-0.0007999999
-0.0008786	0.8867999	-0.0024
-0.0008784	0.8889332	-0.002666666
-0.0008782	0.8901333	-0.002133333
-0.000878	0.8909333	-0.0032
-0.0008778	0.8925332	-0.0024
-0.0008776000000000001	0.8949332	-0.0024
-0.0008774	0.8959999	-0.0016
-0.0008772000000000001	0.8959999	-0.0032
-0.0008770000000000001	0.8979999	-0.001066667
-0.0008768000000000001	0.8995999	-0.0016
-0.0008766000000000001	0.9009333	-0.002666666
-0.0008764	0.9022666	-0.0002666666
-0.0008762	0.9030666	-0.001333333
-0.000876	0.9033332	-0.002133333
-0.0008758	0.9049333	-0.002133333
-0.0008756	0.9077333	-0.002933333
-0.0008754	0.9082666	-0.0016
-0.0008752	0.9114666	-0.001866666
-0.000875	0.9122666	-0.0024
-0.0008748	0.9122666	-0.0032
-0.0008746	0.9138666	-0.0016
-0.0008744	0.9161332	-0.001866666
-0.0008742	0.9174666	-0.002133333
-0.000874	0.9179999	-0.0007999999
-0.0008738	0.9206666	-0.0016
-0.0008736	0.9211999	-0.001333333
-0.0008734000000000001	0.9226665	-0.0016
-0.0008732	0.9242666	-0.0007999999
-0.0008730000000000001	0.9250666	-0.003466666
-0.0008728	0.9263999	-0.002666666
-0.0008726000000000001	0.9282666	-0.001333333
-0.0008724000000000001	0.9307999	-0.001333333
-0.0008722000000000001	0.9321333	-0.0024
-0.000872	0.9318666	-0.002133333
-0.0008718	0.9345332	-0.002666666
-0.0008716	0.9374666	-0.001333333
-0.0008714	0.9371999	-0.002133333
-0.0008712	0.9391999	-0.002666666
-0.000871	0.9405332	-0.002666666
-0.0008708	0.9429333	-0.001066667
-0.0008706	0.9421332	-0.002933333
-0.0008704	0.9434666	-0.0024
-0.0008702	0.9470665	-0.002133333
-0.00087	0.9478666	-0.0016
-0.0008698	0.9494666	-0.002666666
-0.0008696	0.9489332	-0.002666666
